m9-k4/rho=0/shape=c4/alpha=0/beta=4/epsilon=0/kappa=6/eta=3/lambda=4	EMPTY
m9-k4/rho=0/shape=c4/alpha=0/beta=4/epsilon=0/kappa=6/eta=4/lambda=3	EMPTY
m9-k4/rho=0/shape=c4/alpha=0/beta=4/epsilon=0/kappa=6/eta=4/lambda=4	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=0/lambda=1	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=0/lambda=2	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=1/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=1/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=1/lambda=2	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=2/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=2/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=3/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=3/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=4/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=5/eta=4/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=6/eta=0/lambda=1	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=6/eta=0/lambda=2	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=6/eta=1/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=6/eta=1/lambda=2	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=6/eta=2/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=6/eta=2/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=6/eta=3/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=6/eta=3/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=6/eta=4/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=2/epsilon=1/kappa=6/eta=4/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=0/lambda=1	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=0/lambda=2	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=0/lambda=3	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=1/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=1/lambda=2	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=1/lambda=3	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=2/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=2/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=2/lambda=3	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=3/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=3/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=3/lambda=3	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=4/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=4/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=5/eta=4/lambda=3	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=6/eta=0/lambda=2	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=6/eta=0/lambda=3	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=6/eta=1/lambda=2	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=6/eta=1/lambda=3	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=6/eta=2/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=6/eta=2/lambda=3	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=6/eta=3/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=6/eta=3/lambda=3	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=6/eta=4/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=1/beta=3/epsilon=0/kappa=6/eta=4/lambda=3	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=5/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=5/eta=0/lambda=1	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=5/eta=1/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=5/eta=1/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=5/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=5/eta=2/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=5/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=5/eta=3/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=5/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=5/eta=4/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=6/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=6/eta=0/lambda=1	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=6/eta=1/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=6/eta=1/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=6/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=6/eta=2/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=6/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=6/eta=3/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=6/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=1/epsilon=1/kappa=6/eta=4/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=0/lambda=1	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=0/lambda=2	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=1/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=1/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=1/lambda=2	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=2/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=2/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=3/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=3/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=4/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=5/eta=4/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=6/eta=0/lambda=1	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=6/eta=0/lambda=2	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=6/eta=1/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=6/eta=1/lambda=2	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=6/eta=2/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=6/eta=2/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=6/eta=3/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=6/eta=3/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=6/eta=4/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=2/beta=2/epsilon=0/kappa=6/eta=4/lambda=2	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=0/epsilon=1/kappa=5/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=3/beta=0/epsilon=1/kappa=5/eta=1/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=0/epsilon=1/kappa=5/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=0/epsilon=1/kappa=5/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=0/epsilon=1/kappa=5/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=0/epsilon=1/kappa=6/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=3/beta=0/epsilon=1/kappa=6/eta=1/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=0/epsilon=1/kappa=6/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=0/epsilon=1/kappa=6/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=0/epsilon=1/kappa=6/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=5/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=5/eta=0/lambda=1	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=5/eta=1/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=5/eta=1/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=5/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=5/eta=2/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=5/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=5/eta=3/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=5/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=5/eta=4/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=6/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=6/eta=0/lambda=1	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=6/eta=1/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=6/eta=1/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=6/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=6/eta=2/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=6/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=6/eta=3/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=6/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=3/beta=1/epsilon=0/kappa=6/eta=4/lambda=1	EMPTY
m9-k4/rho=0/shape=c4/alpha=4/beta=0/epsilon=0/kappa=5/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=4/beta=0/epsilon=0/kappa=5/eta=1/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=4/beta=0/epsilon=0/kappa=5/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=4/beta=0/epsilon=0/kappa=5/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=4/beta=0/epsilon=0/kappa=5/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=4/beta=0/epsilon=0/kappa=6/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=c4/alpha=4/beta=0/epsilon=0/kappa=6/eta=1/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=4/beta=0/epsilon=0/kappa=6/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=4/beta=0/epsilon=0/kappa=6/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=c4/alpha=4/beta=0/epsilon=0/kappa=6/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=0/epsilon=1/kappa=5/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=0/epsilon=1/kappa=5/eta=1/lambda=0	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=0/epsilon=1/kappa=5/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=0/epsilon=1/kappa=5/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=0/epsilon=1/kappa=5/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=0/epsilon=1/kappa=6/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=0/epsilon=1/kappa=6/eta=1/lambda=0	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=0/epsilon=1/kappa=6/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=0/epsilon=1/kappa=6/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=0/epsilon=1/kappa=6/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=5/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=5/eta=0/lambda=1	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=5/eta=1/lambda=0	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=5/eta=1/lambda=1	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=5/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=5/eta=2/lambda=1	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=5/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=5/eta=3/lambda=1	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=5/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=5/eta=4/lambda=1	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=6/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=6/eta=0/lambda=1	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=6/eta=1/lambda=0	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=6/eta=1/lambda=1	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=6/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=6/eta=2/lambda=1	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=6/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=6/eta=3/lambda=1	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=6/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=0/beta=1/epsilon=0/kappa=6/eta=4/lambda=1	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=1/beta=0/epsilon=0/kappa=5/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=1/beta=0/epsilon=0/kappa=5/eta=1/lambda=0	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=1/beta=0/epsilon=0/kappa=5/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=1/beta=0/epsilon=0/kappa=5/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=1/beta=0/epsilon=0/kappa=5/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=1/beta=0/epsilon=0/kappa=6/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=1/beta=0/epsilon=0/kappa=6/eta=1/lambda=0	FEASIBLE
m9-k4/rho=0/shape=claw_edge/alpha=1/beta=0/epsilon=0/kappa=6/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=1/beta=0/epsilon=0/kappa=6/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=claw_edge/alpha=1/beta=0/epsilon=0/kappa=6/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=fork/alpha=0/beta=1/epsilon=1/kappa=5/eta=0/lambda=0	FEASIBLE
m9-k4/rho=0/shape=fork/alpha=0/beta=1/epsilon=1/kappa=5/eta=0/lambda=1	FEASIBLE
m9-k4/rho=0/shape=fork/alpha=0/beta=1/epsilon=1/kappa=5/eta=1/lambda=0	EMPTY
m9-k4/rho=0/shape=fork/alpha=0/beta=1/epsilon=1/kappa=5/eta=1/lambda=1	FEASIBLE
m9-k4/rho=0/shape=fork/alpha=0/beta=1/epsilon=1/kappa=5/eta=2/lambda=0	EMPTY
m9-k4/rho=0/shape=fork/alpha=0/beta=1/epsilon=1/kappa=5/eta=2/lambda=1	FEASIBLE
m9-k4/rho=0/shape=fork/alpha=0/beta=1/epsilon=1/kappa=5/eta=3/lambda=0	EMPTY
m9-k4/rho=0/shape=fork/alpha=0/beta=1/epsilon=1/kappa=5/eta=3/lambda=1	EMPTY
m9-k4/rho=0/shape=fork/alpha=0/beta=1/epsilon=1/kappa=5/eta=4/lambda=0	EMPTY
m9-k4/rho=0/shape=fork/alpha=0/beta=1/epsilon=1/kappa=5/eta=4/lambda=1	EMPTY
m9-k4/rho=0/shape=fork/alpha=0/beta=1/epsilon=1/kappa=6/eta=0/lambda=0	FEASIBLE
